Institut,Auftraggeber,Befragte,Datum,Partei,Pct,Land
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,SPD,33 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,SPD,31 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,SPD,29 %,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,SPD,"30,3 %",niedersachsen
Institut,Auftraggeber,Befragte,Datum,GRÜNE,GRÜNE,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",GRÜNE,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",niedersachsen
Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,GRÜNE,"13,7 %",niedersachsen
GMS,Sat.1Norddeutschland,T • 1.00614.01.–16.01.,17.01.2013,GRÜNE,13 %,niedersachsen
INFO GmbH,Focus,T • 1.00202.01.–06.01.,12.01.2013,GRÜNE,"14,5 %",niedersachsen
Infratestdimap,ARD,T • 1.00108.01.–10.01.,10.01.2013,GRÜNE,13 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00707.01.–09.01.,10.01.2013,GRÜNE,13 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04007.01.–09.01.,10.01.2013,GRÜNE,13 %,niedersachsen
Infratestdimap,NDR,T • 1.00028.12.–02.01.,03.01.2013,GRÜNE,13 %,niedersachsen
INFO GmbH,Focus,T • 1.00107.12.–14.12.,22.12.2012,GRÜNE,"12,5 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04303.12.–05.12.,06.12.2012,GRÜNE,13 %,niedersachsen
Infratestdimap,NDR,T • 1.00030.11.–04.12.,06.12.2012,GRÜNE,15 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00628.11.–30.11.,04.12.2012,GRÜNE,13 %,niedersachsen
Infratestdimap,NDR,T • 1.00302.11.–06.11.,08.11.2012,GRÜNE,13 %,niedersachsen
Infratestdimap,NDR,T • 1.00317.09.–19.09.,20.09.2012,GRÜNE,15 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00210.09.–14.09.,20.09.2012,GRÜNE,13 %,niedersachsen
Forsa,Stern,T • 1.10811.07.–20.07.,24.07.2012,GRÜNE,11 %,niedersachsen
YouGov,"BILD,radio ffn",O • 1.02505.07.–13.07.,19.07.2012,GRÜNE,14 %,niedersachsen
Infratestdimap,NDR,T • 1.00514.05.–15.05.,16.05.2012,GRÜNE,13 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00516.04.–19.04.,16.05.2012,GRÜNE,13 %,niedersachsen
Infratestdimap,NDR,T • 1.00120.01.–24.01.,25.01.2012,GRÜNE,17 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,GRÜNE,18 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,GRÜNE,22 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,GRÜNE,11 %,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,GRÜNE,"8,0 %",niedersachsen
Institut,Auftraggeber,Befragte,Datum,FDP,FDP,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",FDP,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",niedersachsen
Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,FDP,"9,9 %",niedersachsen
GMS,Sat.1Norddeutschland,T • 1.00614.01.–16.01.,17.01.2013,FDP,5 %,niedersachsen
INFO GmbH,Focus,T • 1.00202.01.–06.01.,12.01.2013,FDP,"4,5 %",niedersachsen
Infratestdimap,ARD,T • 1.00108.01.–10.01.,10.01.2013,FDP,5 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00707.01.–09.01.,10.01.2013,FDP,5 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04007.01.–09.01.,10.01.2013,FDP,5 %,niedersachsen
Infratestdimap,NDR,T • 1.00028.12.–02.01.,03.01.2013,FDP,4 %,niedersachsen
INFO GmbH,Focus,T • 1.00107.12.–14.12.,22.12.2012,FDP,"3,5 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04303.12.–05.12.,06.12.2012,FDP,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00030.11.–04.12.,06.12.2012,FDP,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00628.11.–30.11.,04.12.2012,FDP,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00302.11.–06.11.,08.11.2012,FDP,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00317.09.–19.09.,20.09.2012,FDP,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00210.09.–14.09.,20.09.2012,FDP,5 %,niedersachsen
Forsa,Stern,T • 1.10811.07.–20.07.,24.07.2012,FDP,4 %,niedersachsen
YouGov,"BILD,radio ffn",O • 1.02505.07.–13.07.,19.07.2012,FDP,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00514.05.–15.05.,16.05.2012,FDP,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00516.04.–19.04.,16.05.2012,FDP,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00120.01.–24.01.,25.01.2012,FDP,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,FDP,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,FDP,5 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,FDP,9 %,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,FDP,"8,2 %",niedersachsen
Institut,Auftraggeber,Befragte,Datum,LINKE,LINKE,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",LINKE,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",niedersachsen
Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,LINKE,"3,1 %",niedersachsen
GMS,Sat.1Norddeutschland,T • 1.00614.01.–16.01.,17.01.2013,LINKE,3 %,niedersachsen
INFO GmbH,Focus,T • 1.00202.01.–06.01.,12.01.2013,LINKE,"6,0 %",niedersachsen
Infratestdimap,ARD,T • 1.00108.01.–10.01.,10.01.2013,LINKE,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00707.01.–09.01.,10.01.2013,LINKE,3 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04007.01.–09.01.,10.01.2013,LINKE,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00028.12.–02.01.,03.01.2013,LINKE,3 %,niedersachsen
INFO GmbH,Focus,T • 1.00107.12.–14.12.,22.12.2012,LINKE,"4,0 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04303.12.–05.12.,06.12.2012,LINKE,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00030.11.–04.12.,06.12.2012,LINKE,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00628.11.–30.11.,04.12.2012,LINKE,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00302.11.–06.11.,08.11.2012,LINKE,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00317.09.–19.09.,20.09.2012,LINKE,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00210.09.–14.09.,20.09.2012,LINKE,5 %,niedersachsen
Forsa,Stern,T • 1.10811.07.–20.07.,24.07.2012,LINKE,4 %,niedersachsen
YouGov,"BILD,radio ffn",O • 1.02505.07.–13.07.,19.07.2012,LINKE,5 %,niedersachsen
Infratestdimap,NDR,T • 1.00514.05.–15.05.,16.05.2012,LINKE,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00516.04.–19.04.,16.05.2012,LINKE,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00120.01.–24.01.,25.01.2012,LINKE,5 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,LINKE,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,LINKE,5 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,LINKE,6 %,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,LINKE,"7,1 %",niedersachsen
Institut,Auftraggeber,Befragte,Datum,PIRATEN,PIRATEN,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",PIRATEN,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",niedersachsen
Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,PIRATEN,"2,1 %",niedersachsen
GMS,Sat.1Norddeutschland,T • 1.00614.01.–16.01.,17.01.2013,PIRATEN,3 %,niedersachsen
INFO GmbH,Focus,T • 1.00202.01.–06.01.,12.01.2013,PIRATEN,"3,0 %",niedersachsen
Infratestdimap,ARD,T • 1.00108.01.–10.01.,10.01.2013,PIRATEN,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00707.01.–09.01.,10.01.2013,PIRATEN,3 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04007.01.–09.01.,10.01.2013,PIRATEN,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00028.12.–02.01.,03.01.2013,PIRATEN,3 %,niedersachsen
INFO GmbH,Focus,T • 1.00107.12.–14.12.,22.12.2012,PIRATEN,"4,5 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04303.12.–05.12.,06.12.2012,PIRATEN,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00030.11.–04.12.,06.12.2012,PIRATEN,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00628.11.–30.11.,04.12.2012,PIRATEN,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00302.11.–06.11.,08.11.2012,PIRATEN,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00317.09.–19.09.,20.09.2012,PIRATEN,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00210.09.–14.09.,20.09.2012,PIRATEN,3 %,niedersachsen
Forsa,Stern,T • 1.10811.07.–20.07.,24.07.2012,PIRATEN,7 %,niedersachsen
YouGov,"BILD,radio ffn",O • 1.02505.07.–13.07.,19.07.2012,PIRATEN,7 %,niedersachsen
Infratestdimap,NDR,T • 1.00514.05.–15.05.,16.05.2012,PIRATEN,8 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00516.04.–19.04.,16.05.2012,PIRATEN,9 %,niedersachsen
Infratestdimap,NDR,T • 1.00120.01.–24.01.,25.01.2012,PIRATEN,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,PIRATEN,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,PIRATEN,1 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,PIRATEN,–,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,PIRATEN,–,niedersachsen
Institut,Auftraggeber,Befragte,Datum,Sonstige,Sonstige,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",Sonstige,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Tag der Veröffentlichung, in die Tabelle einsortiert nach dem Befragungszeitraum",niedersachsen
Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Landtagswahl am 20.01.2013,Sonstige,"FW 1,1 %Sonst. 1,4 %",niedersachsen
GMS,Sat.1Norddeutschland,T • 1.00614.01.–16.01.,17.01.2013,Sonstige,2 %,niedersachsen
INFO GmbH,Focus,T • 1.00202.01.–06.01.,12.01.2013,Sonstige,"2,5 %",niedersachsen
Infratestdimap,ARD,T • 1.00108.01.–10.01.,10.01.2013,Sonstige,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00707.01.–09.01.,10.01.2013,Sonstige,2 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04007.01.–09.01.,10.01.2013,Sonstige,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00028.12.–02.01.,03.01.2013,Sonstige,3 %,niedersachsen
INFO GmbH,Focus,T • 1.00107.12.–14.12.,22.12.2012,Sonstige,"4,0 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04303.12.–05.12.,06.12.2012,Sonstige,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00030.11.–04.12.,06.12.2012,Sonstige,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00628.11.–30.11.,04.12.2012,Sonstige,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00302.11.–06.11.,08.11.2012,Sonstige,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00317.09.–19.09.,20.09.2012,Sonstige,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00210.09.–14.09.,20.09.2012,Sonstige,3 %,niedersachsen
Forsa,Stern,T • 1.10811.07.–20.07.,24.07.2012,Sonstige,3 %,niedersachsen
YouGov,"BILD,radio ffn",O • 1.02505.07.–13.07.,19.07.2012,Sonstige,4 %,niedersachsen
Infratestdimap,NDR,T • 1.00514.05.–15.05.,16.05.2012,Sonstige,4 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00516.04.–19.04.,16.05.2012,Sonstige,2 %,niedersachsen
Infratestdimap,NDR,T • 1.00120.01.–24.01.,25.01.2012,Sonstige,3 %,niedersachsen
GMS,CDU inNiedersachsen,T • 1.00310.01.–14.01.,16.05.2012*,Sonstige,3 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.05.–04.05.,06.05.2011,Sonstige,2 %,niedersachsen
Infratestdimap,NDR,T • 1.00007.01.–11.01.,15.01.2010,Sonstige,4 %,niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Sonstige,"NPD 1,5 %Sonst. 2,4 %",niedersachsen
Institut,Auftraggeber,Befragte,Datum,CDU,CDU,niedersachsen
"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Die Linke.PDS und WASG","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Die Linke.PDS und WASG","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Die Linke.PDS und WASG","– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Die Linke.PDS und WASG",CDU,"– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen
 * Die Linke.PDS und WASG",niedersachsen
"T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten PersonenTOM: T-O-Mix – Befragung per Telefon und per Online-PanelAfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsFDP = Freie Demokratische ParteiFREIE WÄHLER = FREIE WÄHLER NiedersachsenGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor dem 16. Juni 2007 Zahlen für Die Linke.PDSNPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandSchill = Partei Rechtsstaatlicher OffensiveSonstige = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsWASG = Arbeit & soziale Gerechtigkeit – Die Wahlalternative","T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten PersonenTOM: T-O-Mix – Befragung per Telefon und per Online-PanelAfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsFDP = Freie Demokratische ParteiFREIE WÄHLER = FREIE WÄHLER NiedersachsenGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor dem 16. Juni 2007 Zahlen für Die Linke.PDSNPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandSchill = Partei Rechtsstaatlicher OffensiveSonstige = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsWASG = Arbeit & soziale Gerechtigkeit – Die Wahlalternative","T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten PersonenTOM: T-O-Mix – Befragung per Telefon und per Online-PanelAfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsFDP = Freie Demokratische ParteiFREIE WÄHLER = FREIE WÄHLER NiedersachsenGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor dem 16. Juni 2007 Zahlen für Die Linke.PDSNPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandSchill = Partei Rechtsstaatlicher OffensiveSonstige = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsWASG = Arbeit & soziale Gerechtigkeit – Die Wahlalternative","T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten PersonenTOM: T-O-Mix – Befragung per Telefon und per Online-PanelAfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsFDP = Freie Demokratische ParteiFREIE WÄHLER = FREIE WÄHLER NiedersachsenGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor dem 16. Juni 2007 Zahlen für Die Linke.PDSNPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandSchill = Partei Rechtsstaatlicher OffensiveSonstige = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsWASG = Arbeit & soziale Gerechtigkeit – Die Wahlalternative",CDU,"T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten PersonenTOM: T-O-Mix – Befragung per Telefon und per Online-PanelAfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsFDP = Freie Demokratische ParteiFREIE WÄHLER = FREIE WÄHLER NiedersachsenGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor dem 16. Juni 2007 Zahlen für Die Linke.PDSNPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandSchill = Partei Rechtsstaatlicher OffensiveSonstige = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsWASG = Arbeit & soziale Gerechtigkeit – Die Wahlalternative",niedersachsen
Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,Landtagswahl am 27.01.2008,CDU,"42,5 %",niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.10014.01.–17.01.,18.01.2008,CDU,46 %,niedersachsen
Infratestdimap,ARD,T • 1.00014.01.–16.01.,17.01.2008,CDU,44 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.01.–04.01.,07.01.2008,CDU,45 %,niedersachsen
Emnid,Bild amSonntag,T • 80010.12.–02.01.,05.01.2008,CDU,45 %,niedersachsen
AMRDüsseldorf,Der Spiegel,T • 1.000,29.12.2007,CDU,44 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.05604.12.–06.12.,07.12.2007,CDU,44 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.11.–05.11.,07.11.2007,CDU,44 %,niedersachsen
Infratestdimap,Cicero,T • 1.00105.10.–10.10.,23.10.2007,CDU,45 %,niedersachsen
Emnid,CDU inNiedersachsen,T • 1.00002.10.–06.10.,18.10.2007,CDU,45 %,niedersachsen
Infratestdimap,ARD,T • 1.00003.09.–05.09.,06.09.2007,CDU,44 %,niedersachsen
Forsa,n-tv,T • 1.16001.08.–14.08.,16.08.2007,CDU,47 %,niedersachsen
Forsa,n-tv,T • 1.04714.05.–29.05.,31.05.2007,CDU,46 %,niedersachsen
Infratest,SPD-LV,T • 1.00003.05.–06.05.,21.05.2007,CDU,41 %,niedersachsen
Forsa,n-tv,T • 1.19329.01.–13.02.,15.02.2007,CDU,46 %,niedersachsen
Infratestdimap,NDR,T • 1.00019.01.–24.01.,26.01.2007,CDU,43 %,niedersachsen
Forsa,n-tv,T • 1.08002.11.–14.11.,16.11.2006,CDU,45 %,niedersachsen
Forsa,n-tv,T • 1.05425.09.–17.10.,19.10.2006,CDU,44 %,niedersachsen
Infratestdimap,NDR,T • 1.00023.08.–27.08.,30.08.2006,CDU,40 %,niedersachsen
Forsa,"NeuePresse, n-tv",T • 1.08617.07.–01.08.,03.08.2006,CDU,46 %,niedersachsen
Forsa,n-tv,T • 1.03917.05.–06.06.,08.06.2006,CDU,42 %,niedersachsen
Infratestdimap,NDR,T • 1.00017.02.–22.02.,24.02.2006,CDU,42 %,niedersachsen
Forsa,SPD,T • 1.00007.02.–12.02.,01.03.2005,CDU,43 %,niedersachsen
Emnid,CDU,T,28.02.2005,CDU,44 %,niedersachsen
Infratestdimap,NDR,T • 1.00026.01.–31.01.,03.02.2004,CDU,51 %,niedersachsen
GMS,Staatskanzlei,T • 1.00028.11.–01.12.,25.01.2004,CDU,"48,5 %",niedersachsen
Emnid,CDU,T • 1.00027.5.–31.5.,10.06.2003,CDU,48 %,niedersachsen
Landtagswahl am 02.02.2003,Landtagswahl am 02.02.2003,Landtagswahl am 02.02.2003,Landtagswahl am 02.02.2003,CDU,"48,3 %",niedersachsen
Forsa,RTL,T • 1.01427.01.–30.01.,31.01.2003,CDU,48 %,niedersachsen
Forsa,Stern,T • 1.10320.01.–24.01.,29.01.2003,CDU,48 %,niedersachsen
Emnid,n-tv,T,23.01.2003,CDU,46 %,niedersachsen
Infratestdimap,NDR,T • 1.00016.01.–20.01.,22.01.2003,CDU,48 %,niedersachsen
Forsa,Stern,100813.01.–18.01.,22.01.2003,CDU,48 %,niedersachsen
Infratestdimap,NDR,T • 1.00009.01.–13.01.,15.01.2003,CDU,46 %,niedersachsen
Forsa,Stern,T • 1.02706.01.–10.01.,15.01.2003,CDU,46 %,niedersachsen
Forschungs-gruppe Wahlen,ZDF,T • 1.04406.01.–09.01.,10.01.2003,CDU,45 %,niedersachsen
Forsa,Stern,T • 1.12227.12.–03.01.,07.01.2003,CDU,46 %,niedersachsen
Infratestdimap,NDR,T • 1.00002.12.–04.12.,06.12.2002,CDU,45 %,niedersachsen
Emnid,CDU,T • 1.00314.11.–20.11.,22.11.2002,CDU,43 %,niedersachsen
Forsa,SPD,T • Nachwahl-befragung22.09.02,23.09.2002,CDU,"36,5 %",niedersachsen
Emnid,Hit-RadioAntenne,T • 1.00030.08.–04.09.,06.09.2002,CDU,38 %,niedersachsen
Infratestdimap,NDR,T • 1.000,14.06.2002,CDU,35 %,niedersachsen
Emnid,Hit-RadioAntenne,T,31.05.2002,CDU,39 %,niedersachsen
Forsa,SPD,T,17.04.2002,CDU,41 %,niedersachsen
